#expid,rms,rmsra,rmsdec,rotrate,rotinit,fwhm,ha,dec,expid2,hexrot,modelfieldrot
66014,221,179,129,-0.042,-0.6,2.31,-11.4,30,66014,0.3774998993962021,-0.37443734704603604
66017,246,204,137,0.396,2.4,2.12,-54.779544,80.7642,66017,1.4966155575842077,-1.5
66018,255,150,206,-0.364,-5.3,2.26,25.938146,79.94422,66018,0.8525532533820636,-0.8505502104877133
66020,242,165,176,0.994,4.5,1.92,-64.588085,45.324227,66020,0.9231386359376511,-0.9306611427940871
66023,304,188,239,1.846,-0.4,2.33,91.848572,78.0942,66023,0.9463131038606706,-0.957340766636782
66025,358,241,264,-0.303,1.0,2.79,1.058673,-21.65577263,66025,0.23221618059426888,-0.2292928840395962
66026,338,200,272,0.627,-3.4,2.63,53.857808,79.9442273,66026,0.9576413738718317,-0.9456444129051631
66057,161,128,98,-0.147,-2.4,1.46,39.087338,-0.96577262,66057,0.15629283325477555,-0.1515850384156461
66059,161,125,101,0.221,0.3,1.19,57.715632,42.50422737,66059,0.1363807797432235,-0.12913551912764054
66061,213,160,140,-0.021,1.3,1.26,-55.570376,0.57422737,66061,-0.20151253105038244,0.1968376066834533
66072,260,170,197,-0.568,0.5,1.44,-21.248413,-21.655772,66072,-0.06465700687344983,0.0663261480928354
66074,231,165,162,-0.745,-1.7,1.43,-25.874743,-20.2557726,66074,-0.1307955374356038,0.12817801281443775
66076,219,142,166,-0.897,-0.2,1.50,-29.05153,-21.83577262,66076,-0.254817859797757,0.25428665018185914
66107,186,141,121,-0.540,-2.9,1.28,22.946988,-21.815772,66107,0.0648897191727492,-0.03582392593049643
66109,151,115,99,-0.145,-0.8,1.10,0.096494,-18.17577263,66109,0.316827816470393,-0.31273406061388465
66111,211,170,124,-0.340,0.1,1.13,-42.294225,0.57422737,66111,-0.0008854021253703525,0.00950225129087
66122,224,160,156,-0.263,-2.5,1.51,53.761709,-0.96577262,66122,-0.17840571033370622,0.1770236568244453
66125,170,126,113,-0.205,1.0,1.00,-39.282574,0.57422737,66125,0.04618454320272572,-0.0372747117621883
66127,215,117,180,-0.476,0.3,1.30,-16.859799,-20.2557726,66127,0.07265334181789164,-0.0621409550286623
66129,223,148,166,-0.633,0.5,1.39,-19.505809,-21.83577263,66129,-0.04116705942800915,0.0346554319945808
66131,234,176,155,-0.678,-1.0,1.54,-23.709448,-20.20577263,66131,-0.07932699155371062,0.0772016126579375
66263,208,159,134,-0.787,0.3,1.47,-33.3519,-18.89577263,66263,-0.2668104626291443,0.2680182359785249
66265,224,193,112,-0.470,2.7,1.38,-47.793929,-0.965772,66265,-0.1268747583026352,0.12267944639538088
66267,361,301,200,0.121,-3.1,1.72,-64.312631,4.734227,66267,-0.18824791688201745,0.1827307689038811
66269,220,176,132,-0.511,-1.3,1.27,-25.096522,-18.81577263,66269,-0.07009910263032024,0.0691995328117893
66597,365,279,234,1.625,0.2,2.08,-25.096522,-18.81577263,66597,1.4997077679056392,-1.5
66601,222,141,172,0.315,-3.2,1.68,53.746508,70.44363934,66601,0.5996951153780512,-0.5934528151704437
66604,224,141,174,-0.093,-2.0,1.63,4.759819,70.67363934,66604,0.6258917257156853,-0.6262594459989483
66606,239,191,144,-0.020,-0.8,1.47,-4.569877,-5.686360657,66606,0.4715791613232468,-0.4671208441088475
66608,177,117,133,0.168,0.0,1.25,57.638209,54.8636393,66608,0.26096377220871714,-0.2570410650670252
